PropName,PropTypes,LowPrice,HighPrice,Address,Rentals,Project Name,project type,Developer,Tenure,PSF,Completion Year,# of Floors,Total Units,Facilities,Buildings
Pangsapuri Ruselia,Apartment,128000,138000,"Jalan Pinggiran 1/1, Taman Pinggiran Putra, 43300, Selangor",,Pangsapuri Ruselia,Apartment,N/A,Leasehold,N/A,N/A,9,N/A,Barbeque Area | Cafe | Covered car park | Lounge | Mini-Mart | Playground | Recreation Lake,"Building: Building @ Jalan Pinggiran 1/1, Taman Pinggiran Putra 43300 | # Floors: 9 | # Units: N/A"
Pangsapuri Segar Perdana,Apartment,140000,238000,"Jalan Segar Perdana 1, Taman Segar Perdana, 43200, Selangor",600 - 1007,Pangsapuri Segar Perdana,Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,Open car park | 24 hours security,"Building: Building @ Jalan Segar Perdana 1, Taman Segar Perdana 43200 | # Floors: N/A | # Units: N/A"
Pangsapuri Segar Ria,Apartment,130000,200000,"Off Jalan Manis, Taman Segar, Cheras, 56100, Kuala Lumpur",550 - 750,Pangsapuri Segar Ria,Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,,"Building: Building @ Off Jalan Manis, Taman Segar, Cheras 56100 | # Floors: N/A | # Units: N/A"
Pangsapuri Selayang Sejati,Apartment,0,0,"Jalan Sejati 2b, Taman Selayang Sejati, 68100, Selangor",,Pangsapuri Selayang Sejati,Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,,"Building: Building @ Jalan Sejati 2b, Taman Selayang Sejati 68100 | # Floors: N/A | # Units: N/A"
Pangsapuri Semarak @ Setia Alam,Apartment,150000,168000,"Persiaran Setia Alam, Seksyen U3, Setia Alam, 40170, Selangor",,Pangsapuri Semarak @ Setia Alam,Apartment,Bandar Setia Alam Sdn Bhd,Freehold,N/A,N/A,5,449,Badminton hall | Open car park | Playground | Surau (Male & Female),"Building: Building @ Persiaran Setia Alam, Seksyen U3, Setia Alam 40170 | # Floors: 5 | # Units: 449"
Pangsapuri Sentul Utara,Apartment,235000,245000,"Pangsapuri Sentul Utara, Sentul, 51000, Kuala Lumpur",,Pangsapuri Sentul Utara,Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,Cafe | Covered car park | Mini-Mart | Playground | Salon | 24 hours security,"Building: Building @ Pangsapuri Sentul Utara, Sentul 51000 | # Floors: N/A | # Units: N/A"
Pangsapuri Seri Bintang,Apartment,199000,285000,"Seksyen U5, 40150, Selangor",,Pangsapuri Seri Bintang,Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,Covered car park | Mini-Mart | Playground | 24 hours security,Building: Building @ Jalan Nova U5/45 Seksyen U5 40150 | # Floors: N/A | # Units: N/A
Pangsapuri Seri Dahlia (Bdr Seri Putra),Apartment,0,0,"Bandar Seri Putra, Bangi, 43000, Selangor",,Pangsapuri Seri Dahlia (Bdr Seri Putra),Apartment,UM Land,Freehold,N/A,N/A,N/A,N/A,,"Building: Building @ Jalan Seri Putra 4, Bandar Seri Putra, Bangi 43000 | # Floors: N/A | # Units: N/A"
Pangsapuri Seri Intan (Tunas Muda),Apartment,300000,598000,"Taman Tunas Muda, Sungai Ara, 11900, Penang",,Pangsapuri Seri Intan (Tunas Muda),Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Open car park | Playground | 24 hours security,"Building: Building @ Lintang Bayan 4, Taman Tunas Muda, Sungai Ara 11900 | # Floors: N/A | # Units: N/A"
Pangsapuri Seri Jasa,Apartment,158000,228000,"Jalan Balakong, Taman Sungai Besi Indah, 43300, Selangor",,Pangsapuri Seri Jasa,Apartment,N/A,Leasehold,N/A,N/A,5,N/A,Barbeque Area | Covered car park | Lounge | Nursery | Playground | 24 hours security,"Building: Building @ Jalan Balakong, Taman Sungai Besi Indah 43300 | # Floors: 5 | # Units: N/A"
Pangsapuri Seri Jati (Balakong Jaya),Apartment,0,0,"Jalan Balakong Jaya 27, Taman Balakong Jaya, 43200, Selangor",,Pangsapuri Seri Jati (Balakong Jaya),Apartment,N/A,Leasehold,N/A,N/A,5,160,Barbeque Area | Covered car park | Lounge | Playground,"Building: Building @ Jalan Balakong Jaya 27, Taman Balakong Jaya 43200 | # Floors: 5 | # Units: 160"
Pangsapuri Seri Jati (Bandar Puteri),Apartment,0,0,"Jalan Wawasan 5/4, Bandar Puteri, 47100, Selangor",730 - 800,Pangsapuri Seri Jati (Bandar Puteri),Apartment,N/A,Freehold,N/A,N/A,5,N/A,Barbeque Area | Covered car park | Lounge | Nursery | Playground,"Building: Building @ Jalan Wawasan 5/4, Bandar Puteri 47100 | # Floors: 5 | # Units: N/A"
Pangsapuri Seri Mas (Seri Kembangan),Apartment,0,0,"Jalan Pp 43, Taman Pinggiran Putra, Seri Kembangan, 43300, Selangor",,Pangsapuri Seri Mas (Seri Kembangan),Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,Mini-Mart | Open car park,"Building: Building @ Jalan Pp 43, Taman Pinggiran Putra, Seri Kembangan 43300 | # Floors: N/A | # Units: N/A"
Pangsapuri Seri Mawar,Apartment,175000,260000,"Bandar Seri Putra, Bangi, 43000, Selangor",,Pangsapuri Seri Mawar,Apartment,UM Land,Freehold,N/A,N/A,N/A,N/A,,"Building: Building @ Jalan Seri Putra 4, Bandar Seri Putra, Bangi 43000 | # Floors: N/A | # Units: N/A ** Building: Building @ Jalan Seri Putra 4, 43000 | # Floors: N/A | # Units: N/A"
Pangsapuri Seri Melati,Apartment,185000,275000,", Bandar Seri Putra, Bangi, 43000, Selangor",,Pangsapuri Seri Melati,Apartment,UM Land,Freehold,N/A,N/A,N/A,N/A,,"Building: Building @ Jalan Seri Putra 3/1 , Bandar Seri Putra, Bangi 43000 | # Floors: N/A | # Units: N/A"
Pangsapuri Seri Mewah (Blok B),Apartment,230000,235000,"Taman Seri Mewah, Kajang, 43000, Selangor",,Pangsapuri Seri Mewah (Blok B),Apartment,N/A,Freehold,N/A,N/A,7,N/A,Covered car park | Open car park | 24 hours security,"Building: Building @ Jalan Seri Mewah 3 Taman Seri Mewah, Kajang 43000 | # Floors: 7 | # Units: N/A"
Pangsapuri Seri Mutiara,Apartment,155000,218000,"Jalan Petaling, Putra Heights, 47650, Selangor",,Pangsapuri Seri Mutiara,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,,"Building: Building @ Jalan Petaling, Putra Heights 47650 | # Floors: N/A | # Units: N/A"
Pangsapuri Seri Nuang 1 & 2,Apartment,0,0,"Jalan Gunung Nuang U11/37, Bukit Bandaraya, 40170, Selangor",,Pangsapuri Seri Nuang 1 & 2,Apartment,Lebar Daun Development Sdn Bhd,Leasehold,N/A,N/A,N/A,233,Covered car park | Open car park | 24 hours security,"Building: Building @ Jalan Gunung Nuang U11/37, Bukit Bandaraya 40170 | # Floors: N/A | # Units: 233"
Pangsapuri Seri Palma,Apartment,0,0,"Jalan Nagasari 36/1, Desa Latania, Shah Alam, 40470, Selangor",,Pangsapuri Seri Palma,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Covered car park | Playground | 24 hours security | Surau (Male & Female),"Building: Building @ Jalan Nagasari 36/1, Desa Latania, Shah Alam 40470 | # Floors: N/A | # Units: N/A"
Pangsapuri Seri Pelangi (Tasik Prima),Apartment,120000,148000,"Jalan Puchong Utama 6, Taman Tasik Prima, Puchong, 41700, Selangor",,Pangsapuri Seri Pelangi (Tasik Prima),Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,Open car park | Playground,"Building: Building @ Jalan Puchong Utama 6, Taman Tasik Prima, Puchong 41700 | # Floors: N/A | # Units: N/A"
