PropName,PropTypes,LowPrice,HighPrice,Address,Rentals,Project Name,project type,Developer,Tenure,PSF,Completion Year,# of Floors,Total Units,Facilities,Buildings
1-World (THE ONE),Apartment,450000,650000,"Tingkat Mahsuri, OFF Jalan Mahsuri, Bayan Lepas, 11950, Penang",1498 - 2000,1-World (THE ONE),Apartment,Ideal Capital Intelligence Sdn Bhd,Leasehold,N/A,N/A,N/A,N/A,Barbeque Area | Covered car park | Gymnasium room | Playground | 24 hours security | Swimming pool,"Building: Building @ Tingkat Mahsuri, OFF Jalan Mahsuri, Bayan Lepas 11950 | # Floors: N/A | # Units: N/A"
162 Residency,Apartment,235000,355000," Jalan Os 1/1, One Selayang,Batu Caves, 68100, Selangor",900 - 1200,162 Residency,Apartment,B&G Property,Leasehold,N/A,2011,7,454,Covered car park | Perimeter Fencing | Main entrance | Multi-purpose hall | 24 hours security | Surau (Male & Female),Building: 162 Residency  | # Floors: 7 | # Units: 454
1K Tricourt,Apartment,250000,338000,"Jalan Taman Seri Sentosa, Taman Seri Sentosa, 58000, Kuala Lumpur",,1K Tricourt,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Open car park | 24 hours security,"Building: Building @ 0 Jalan Taman Seri Sentosa, Taman Seri Sentosa 58000 | # Floors: N/A | # Units: N/A ** Building: Building @ 0 58000 | # Floors: N/A | # Units: N/A"
20trees (The Apartment),Apartment,500000,1700000,"Jalan K5, Taman Melawati, 53100, Kuala Lumpur",3400 - 3600,20trees (The Apartment),Apartment,Selangor Dredging Berhad,Freehold,N/A,N/A,N/A,118,Barbeque Area | Clubhouse | Gymnasium room | Jacuzzi | Jogging track | Picnic Area | Playground | 24 hours security | Swimming pool | Tennis courts | Aeroyoga Room,"Building: Building @ Jalan K5, Taman Melawati 53100 | # Floors: N/A | # Units: 118 ** Building: Building @ - 53100 | # Floors: N/A | # Units: 118"
25 Jalan Gemas,Apartment,0,0,"Jalan Gemas, Taman Kampar, 10460, Penang",,25 Jalan Gemas,Apartment,N/A,Freehold,N/A,N/A,3,N/A,,"Building: Building @ 25 Jalan Gemas, Taman Kampar 10460 | # Floors: 3 | # Units: N/A"
86 Avenue Residences,"Apartment, Condominium",770000,810000,"Off Lorong Perak, Jelutong, 10150, Penang",,86 Avenue Residences,Multiple,Yuan Seng Building Trading,Freehold,N/A,2014,18,96,Barbeque Area | Children's Playground | Perimeter Fencing | Game room | Gymnasium room | Landscaped Garden | Main entrance | Multi-purpose hall | 24 hours security | Table Tennis,Building: 86 Avenue Residences | # Floors: 18 | # Units: 96
Agathis Apartment (Putera Jaya Telipok),Apartment,0,0,"Batu 13, Jalan Tuaran, Telipok, Kota Kinabalu, 88300, Sabah",,Agathis Apartment (Putera Jaya Telipok),Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,,"Building: Building @ Taman Putera Jaya, Batu 13, Jalan Tuaran, Telipok, Kota Kinabalu 88300 | # Floors: N/A | # Units: N/A ** Building: Building @ Taman Putera Jaya, 88300 | # Floors: N/A | # Units: N/A"
Akasia Apartment @ Setia Alam,Apartment,240000,290000,"Persiaran Setia Prima, Seksyen U3, Setia Alam, 40170, Selangor",,Akasia Apartment @ Setia Alam,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,24 hours security,"Building: Building @ 4 Persiaran Setia Prima, Seksyen U3, Setia Alam 40170 | # Floors: N/A | # Units: N/A"
Akasia Apartments (Puchong),Apartment,253000,310000,"Jalan Wawasan 2/3, Pusat Bandar Puchong, 47100, Selangor",850 - 1200,Akasia Apartments (Puchong),Apartment,N/A,Freehold,N/A,N/A,10,N/A,Playground | 24 hours security | Swimming pool,"Building: Building @ Jalan Wawasan 2/3, Pusat Bandar Puchong 47100 | # Floors: 10 | # Units: N/A ** Building: Building @ - 47100 | # Floors: 10 | # Units: N/A"
Aman Putra Apartment,Apartment,138600,228000,"Off Taman Aman Putra, Jinjang, 52000, Kuala Lumpur",800 - 1500,Aman Putra Apartment,Apartment,N/A,Freehold,N/A,N/A,9,900,Mini-Mart | Playground | 24 hours security,"Building: Building @ Jalan Aman Putra Off Taman Aman Putra, Jinjang 52000 | # Floors: 9 | # Units: 900"
Amazing Heights,Apartment,220000,260000,"Jalan Sungai Udang, Kg Sungai Udang, Klang, 42000, Selangor",,Amazing Heights,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Playground | 24 hours security | Surau (Male & Female) | Swimming pool,"Building: Building @ Jalan Sungai Udang, Kg Sungai Udang, Klang 42000 | # Floors: N/A | # Units: N/A"
Amber Court Apartment,Apartment,230000,500000,"Jalan Ion D'Elemen Genting Highlands, 69000, Pahang",1500 - 4400,Amber Court Apartment,Apartment,N/A,Freehold,N/A,N/A,20,N/A,Covered car park | Jogging track | Main entrance | Mini-Mart | Playground | 24 hours security,Building: Amber Court Apartment | # Floors: 20 | # Units: N/A
Amber Height,Apartment,246000,280000,"Bandar Baru Seri Alam, 81750, Johor",,Amber Height,Apartment,UM Land,Leasehold,N/A,2022,16,240,Covered car park | Gymnasium room | 24 hours security | Swimming pool,Building: Amber Height | # Floors: 16 | # Units: 240
Ampang 971,Townhouse,995000,1800000,"Jalan Ritchie, 55000, Kuala Lumpur",3000 - 5000,Ampang 971,Townhouse,I & P Group Sdn. Berhad.,Freehold,N/A,2014,3,124,Aerobic pool | Barbeque Area | Gymnasium room | Jogging track | Mini-Mart | Playground | 24 hours security | Squash court | Swimming pool | Wading pool,Building: Ampang 971 | # Floors: 3 | # Units: 124
Andorra Apartment,Apartment,150000,175000,"Jalan Mulia 25/73, Taman Sri Muda, Shah Alam, 40400, Selangor",,Andorra Apartment,Apartment,N/A,Freehold,N/A,N/A,5,N/A,Covered car park | Driving range | Eateries | Open car park | Playground | Restaurant,Building: Andorra Apartment | # Floors: 5 | # Units: N/A
Anggerik Apartment (Nilai),Apartment,328000,500000,"Persiaran Bandar Baru Nilai, Taman Desa Anggerik, 71800, Negeri Sembilan",,Anggerik Apartment (Nilai),Apartment,BBN Development Sdn Bhd,Freehold,N/A,N/A,3,N/A,Open car park | Playground | 24 hours security,"Building: Building @ Persiaran Bandar Baru Nilai, Taman Desa Anggerik 71800 | # Floors: 3 | # Units: N/A"
Anggerik Apartment @ Putra Perdana,Apartment,0,0,"Jalan Putra Perdana 1A, Taman Putra Perdana, 47100, Selangor",,Anggerik Apartment @ Putra Perdana,Apartment,N/A,Leasehold,N/A,N/A,5,N/A,Open car park,"Building: Building @ Anggerik Apartment Jalan Putra Perdana 1A, Taman Putra Perdana 47100 | # Floors: 5 | # Units: N/A"
Anggerik Apartment @ Seri Kembangan,Apartment,0,0,"Taman Serdang Jaya, 43300, Selangor",,Anggerik Apartment @ Seri Kembangan,Apartment,N/A,Freehold,N/A,N/A,5,N/A,Mini-Mart | Open car park | Playground,Building: Building @ Jalan Raya 7/1 Taman Serdang Jaya 43300 | # Floors: 5 | # Units: N/A
Anggerik Court (Sandakan),Apartment,0,0,"Taman Anggerik, Sandakan, 90000, Sabah",,Anggerik Court (Sandakan),Apartment,Taraf Teguh Sdn Bhd,Leasehold,N/A,N/A,N/A,N/A,24 hours security,"Building: Building @ Jalan Lintas Sibuga, Taman Anggerik, Sandakan 90000 | # Floors: N/A | # Units: N/A ** Building: Building @ Jalan Lintas Sibuga, 90000 | # Floors: N/A | # Units: N/A"
Anggerik Villa 2 Apartment,Apartment,150000,380000,"Jalan Anggerik Villa 2/2, Taman Anggerik Perdana, 43500, Selangor",700 - 900,Anggerik Villa 2 Apartment,Apartment,N/A,Freehold,N/A,N/A,12,N/A,Covered car park | Playground | 24 hours security,"Building: Building @ Jalan Anggerik Villa 2/2, Taman Anggerik Perdana 43500 | # Floors: 12 | # Units: N/A"
Angsana Apartment (USJ 1),Apartment,115000,179999,"Persiaran Subang Mewah, Taman Subang Permai, 47500, Selangor",650 - 750,Angsana Apartment (USJ 1),Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,,"Building: Building @ Persiaran Subang Mewah, Taman Subang Permai 47500 | # Floors: N/A | # Units: N/A ** Building: Building @ - 47500 | # Floors: N/A | # Units: N/A"
Antara Apartment,Apartment,0,0,"Jalan Mulia, Taman Mulia Jaya, 68000, Selangor",,Antara Apartment,Apartment,N/A,Freehold,N/A,N/A,5,N/A,,"Building: Building @ Jalan Mulia, Taman Mulia Jaya 68000 | # Floors: 5 | # Units: N/A"
Antilia Shop Apartment,Apartment,0,0,"Jalan Hijau 5/1,Off Pinggiran Lembah Hijau 4, Bandar Tasik Puteri, 48000, Selangor",,Antilia Shop Apartment,Apartment,Indah Jaya Development Sdn Bhd,Leasehold,N/A,2011,N/A,N/A,Open car park,Building: Antilia Shop Apartment  | # Floors: N/A | # Units: N/A
Apartmen Bukit Sri Bintang,Apartment,0,0,"Jalan 2/36, Taman Bukit Sri Bintang, 52100, Kuala Lumpur",,Apartmen Bukit Sri Bintang,Apartment,N/A,Freehold,N/A,N/A,10,240,Covered car park | 24 hours security,"Building: Building @ Jalan 2/36, Taman Bukit Sri Bintang 52100 | # Floors: 10 | # Units: 240"
Apartmen Harmoni,Apartment,110000,570000,"Damansara Damai, 47830, Selangor",475 - 600,Apartmen Harmoni,Apartment,N/A,Freehold,N/A,N/A,5,1100,Open car park | Surau (Male & Female),Building: Apartment Harmoni | # Floors: 5 | # Units: 1100
Apartmen Impian (Damansara Damai),Apartment,150000,244000,"Jalan PJU 10/1F, Damansara Damai, 47830, Selangor",,Apartmen Impian (Damansara Damai),Apartment,N/A,Freehold,N/A,N/A,5,750,Playground | 24 hours security,Building: Apartmen Impian (Damansara Damai) | # Floors: 5 | # Units: 750
Apartmen Kampung Tunku,Apartment,0,0,"Jalan SS1/5, Kampung Tunku, 47300, Selangor",,Apartmen Kampung Tunku,Apartment,N/A,Freehold,N/A,N/A,4,48,Open car park | Playground | 24 hours security,Building: Apartmen Kampung Tunku | # Floors: 4 | # Units: 48
Apartmen Selasih,Apartment,245000,280000,"Jalan PJU 10/1C, 47830, Selangor",475 - 500,Apartmen Selasih,Apartment,N/A,Leasehold,N/A,N/A,5,N/A,Barbeque Area | Gymnasium room | Playground | 24 hours security | Swimming pool | Wading pool,Building: Apartmen Selasih | # Floors: 5 | # Units: N/A
Apartmen Seroja (Bandar Baru Selayang),Apartment,0,0,"Jalan 3/9, Off Persiaran 3, Bandar Baru Selayang, 68100, Selangor",,Apartmen Seroja (Bandar Baru Selayang),Apartment,N/A,Freehold,N/A,N/A,5,N/A,,"Building: Building @ Jalan 3/9, Off Persiaran 3, Bandar Baru Selayang 68100 | # Floors: 5 | # Units: N/A"
Apartmen Suteramas,Apartment,157000,170000,"Jalan Kwan Tung, Kampung Tung Baru, 43000, Selangor",,Apartmen Suteramas,Apartment,N/A,Freehold,N/A,N/A,5,N/A,Cafe | Car Park | Driving range | Launderette | Mini-Mart | Playground | 24 hours security,Building: Apartmen Suteramas | # Floors: 5 | # Units: N/A
Apartment Bayu,Apartment,162000,280000,"Jalan PJU 10/4, 47830, Selangor",750 - 1000,Apartment Bayu,Apartment,N/A,Leasehold,N/A,N/A,5,N/A,Children's Playground | Perimeter Fencing | Jogging track | Playground | 24 hours security | Swimming pool,Building: Apartment Bayu | # Floors: 5 | # Units: N/A
Apartment BNM,Apartment,0,0,"Jalan SS 15/4E, SS15, 47500, Selangor",,Apartment BNM,Apartment,N/A,Freehold,N/A,N/A,5,N/A,Playground,"Building: Building @ Jalan SS 15/4E, SS15 47500 | # Floors: 5 | # Units: N/A"
Apartment Cempaka (Bdr Baru Selayang),Apartment,0,0,"Jalan 3/10, Bandar Baru Selayang, 68100, Selangor",,Apartment Cempaka (Bdr Baru Selayang),Apartment,N/A,Freehold,N/A,N/A,4,N/A,Lounge,"Building: Building @ Jalan 3/10, Bandar Baru Selayang 68100 | # Floors: 4 | # Units: N/A"
Apartment Cempakapuri,Apartment,0,0,"Taman Desa Cempaka, Bandar Baru Nilai, 71800, Negeri Sembilan",,Apartment Cempakapuri,Apartment,N/A,Freehold,N/A,N/A,4,N/A,Car Park | Driving range | Eateries | Mini-Mart | Open car park,Building: Apartment Chempakapuri | # Floors: 4 | # Units: N/A
Apartment Dahlia A,Apartment,0,0,"Jalan 3/11, Bandar Baru Selayang, 68100, Selangor",,Apartment Dahlia A,Apartment,N/A,Freehold,N/A,N/A,4,N/A,,"Building: Building @ Jalan 3/11, Bandar Baru Selayang 68100 | # Floors: 4 | # Units: N/A"
Apartment Dahlia B,Apartment,0,0,"Persiaran 3, Bandar Baru Selayang, 68100, Selangor",,Apartment Dahlia B,Apartment,N/A,Freehold,N/A,N/A,4,N/A,,"Building: Building @ Persiaran 3, Bandar Baru Selayang 68100 | # Floors: 4 | # Units: N/A"
Apartment Darau Angkasa,Apartment,0,0,"Darau, Menggatal, Kota Kinabalu, 88400, Sabah",,Apartment Darau Angkasa,Apartment,Syarikat Perumahan Negara Berhad,Leasehold,N/A,N/A,N/A,N/A,Badminton hall | Basketball court | Multi-purpose hall | Playground | 24 hours security | Surau (Male & Female) | Swimming pool,"Building: Building @ Jalan Tuaran Bypass, Darau, Menggatal, Kota Kinabalu 88400 | # Floors: N/A | # Units: N/A ** Building: Building @ Jalan Tuaran Bypass, 88400 | # Floors: N/A | # Units: N/A"
Apartment Fiona,Apartment,160000,200000,"Jalan Samudera Batu Caves 12, 68100, Selangor",,Apartment Fiona,Apartment,N/A,Leasehold,N/A,N/A,5,N/A,Car Park | Driving range | Eateries | Perimeter Fencing | Playground,Building: Apartment Fiona | # Floors: 5 | # Units: N/A
Apartment Flora,Apartment,100000,230000,"Persiaran Impian, Taman Impian Ehsan, 43300, Selangor",750 - 1100,Apartment Flora,Apartment,N/A,Freehold,N/A,N/A,5,N/A,Car Park | Covered car park | Driving range | Perimeter Fencing | 24 hours security,Building: Apartment Flora | # Floors: 5 | # Units: N/A
Apartment Idaman,Apartment,105000,150000,"Jalan PJU 10/1, 47830, Selangor",,Apartment Idaman,Apartment,N/A,Freehold,N/A,N/A,5,672,Main entrance,Building: Apartment Idaman | # Floors: 5 | # Units: 672
Apartment Indah Jaya (Sandakan),Apartment,0,0,"Off Jalan Cecily North, Taman Indah Jaya, Sandakan, 90000, Sabah",,Apartment Indah Jaya (Sandakan),Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,,"Building: Building @ Jln Lintas Selatan, Off Jalan Cecily North, Taman Indah Jaya, Sandakan 90000 | # Floors: N/A | # Units: N/A ** Building: Building @ Jln Lintas Selatan, 90000 | # Floors: N/A | # Units: N/A"
Apartment Indah (PJU 10/1),Apartment,0,0,"Jalan PJU 10/1C, 47830, Selangor",850 - 1000,Apartment Indah (PJU 10/1),Apartment,N/A,Freehold,N/A,N/A,5,112,Playground,Building: Building @ Jalan PJU 10/1C 47830 | # Floors: 5 | # Units: 112
Apartment Kasawari,Apartment,0,0,"Jalan Damar, Taman Impian Ehsan, 43300, Selangor",,Apartment Kasawari,Apartment,N/A,Freehold,N/A,N/A,5,N/A,Open car park | Playground,"Building: Building @ Jalan Damar, Taman Impian Ehsan 43300 | # Floors: 5 | # Units: N/A"
Apartment Kenanga Mewah,Apartment,0,0,"Taman Kenanga Mewah, Kampung Lapan, 75200, Melaka",,Apartment Kenanga Mewah,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,,"Building: Building @ Jalan Kenanga 3/21, Taman Kenanga Mewah, Kampung Lapan 75200 | # Floors: N/A | # Units: N/A ** Building: Building @ Jalan Kenanga 3/21, 75200 | # Floors: N/A | # Units: N/A"
Apartment Komuter Raya,Apartment,290000,315000,"Jalan Parang S19/8, Seksyen 19, 40000, Selangor",1200 - 1500,Apartment Komuter Raya,Apartment,N/A,Leasehold,N/A,N/A,6,N/A,Car Park | Children's Playground | Driving range | Perimeter Fencing | Jogging track | Lift lobby | Nursery | 24 hours security | Surau (Male & Female),Building: Apartment Komuter Raya | # Floors: 6 | # Units: N/A
Apartment Lestari (Damansara Damai),Apartment,110000,235000,"Damansara Damai, 47830, Selangor",500 - 850,Apartment Lestari (Damansara Damai),Apartment,N/A,Leasehold,N/A,N/A,16,2296,Open car park | Playground,Building: Building @ Jalan PJU 10/1 Damansara Damai 47830 | # Floors: 16 | # Units: 2296
Apartment Mahkota 1,Apartment,170000,386000,"Jln Penghulu 7/3, Tmn Penghulu, Bdr Mahkota Cheras, 43000, Selangor",,Apartment Mahkota 1,Apartment,N/A,Freehold,N/A,N/A,6,N/A,24 hours security,"Building: Building @ Jln Penghulu 7/3, Tmn Penghulu, Bdr Mahkota Cheras 43000 | # Floors: 6 | # Units: N/A"
Apartment Matahari (Kolombong Inanam),Apartment,0,0,"Kolombong, Inanam, Kota Kinabalu, 88450, Sabah",,Apartment Matahari (Kolombong Inanam),Apartment,Mekamewah Construction Sdn Bhd,Leasehold,N/A,N/A,4,N/A,,"Building: Building @ Lorong Pelam 4, Kolombong, Inanam, Kota Kinabalu 88450 | # Floors: 4 | # Units: N/A ** Building: Building @ Lorong Pelam 4, 88450 | # Floors: 4 | # Units: N/A"
Apartment Melor,Apartment,0,0,"Jalan 3/10, Bandar Baru Selayang, 68100, Selangor",,Apartment Melor,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,,"Building: Building @ Jalan 3/10, Bandar Baru Selayang 68100 | # Floors: N/A | # Units: N/A"
Apartment Meranti,Apartment,0,0,"Jalan Meranti, Taman Impian Ehsan, Balakong, 43200, Selangor",,Apartment Meranti,Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,,"Building: Building @ Jalan Meranti, Taman Impian Ehsan, Balakong 43200 | # Floors: N/A | # Units: N/A"
Apartment Minang Ria 2,Apartment,185000,325000,"Jalan Minang Ria 1, Taman Minang Ria, 43200, Selangor",850 - 900,Apartment Minang Ria 2,Apartment,N/A,Freehold,N/A,N/A,11,N/A,24 hours security,"Building: Building @ Jalan Minang Ria 1, Taman Minang Ria 43200 | # Floors: 11 | # Units: N/A"
Apartment Nilai Perdana,Apartment,0,0,"Jalan Nilai Perdana 11, Taman Nilai Perdana, Nilai, 71800, Negeri Sembilan",,Apartment Nilai Perdana,Apartment,N/A,Freehold,N/A,2014,5,N/A,Perimeter Fencing | Open car park | 24 hours security,Building: Apartment Nilai Perdana | # Floors: 5 | # Units: N/A
Apartment Okid (Bukit Indah),Apartment,255000,295000,"Jalan Bukit Indah 3/4, Taman Bukit Indah, 68000, Selangor",,Apartment Okid (Bukit Indah),Apartment,N/A,Leasehold,N/A,N/A,5,N/A,24 hours security,"Building: Building @ Jalan Bukit Indah 3/4, Taman Bukit Indah 68000 | # Floors: 5 | # Units: N/A"
Apartment Perkasa,Apartment,149888,358000,"Bandar Baru Bangi, 43000, Selangor",,Apartment Perkasa,Apartment,N/A,Leasehold,N/A,2015,3,1,Car Park | Eateries,Building: Apartment Perkasa | # Floors: 3 | # Units: N/A
Apartment Permai (Damansara Damai),Apartment,169000,250000,"Jalan PJU 10/1, 47830, Selangor",650 - 1000,Apartment Permai (Damansara Damai),Apartment,N/A,Leasehold,N/A,N/A,5,912,Open car park | Playground | 24 hours security,Building: Building @ Jalan PJU 10/1 47830 | # Floors: 5 | # Units: 912
Apartment Permai (Tropicana),Apartment,195000,210000,"Jalan Tropicana Selatan, Tropicana, 47410, Selangor",,Apartment Permai (Tropicana),Apartment,N/A,Leasehold,N/A,N/A,5,N/A,Playground | 24 hours security,"Building: Building @ Jalan Tropicana Selatan, Tropicana 47410 | # Floors: 5 | # Units: N/A"
Apartment Ria 1 @ Taman Megah Ria Masai,Apartment,80000,500000,"Taman Megah Ria, 81750, Johor",750 - 1500,Apartment Ria 1 @ Taman Megah Ria Masai,Apartment,N/A,Freehold,N/A,N/A,3,303,Barbeque Area | Covered car park | Playground | 24 hours security,Building: Building @ Jalan Cenderai 17 Taman Megah Ria 81750 | # Floors: 3 | # Units: 303
Apartment Ria 2 @ Taman Megah Ria Masai,Apartment,159000,280000,"Taman Megah Ria, 81750, Johor",850 - 900,Apartment Ria 2 @ Taman Megah Ria Masai,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Children's Playground | Perimeter Fencing | Swimming pool,Building: Apartment Ria 2 | # Floors: N/A | # Units: N/A
Apartment Ros,Apartment,0,0,"Jalan Bukit Indah 1/14, Bukit Indah, 68000, Selangor",,Apartment Ros,Apartment,N/A,Freehold,N/A,N/A,5,N/A,,"Building: Building @ Jalan Bukit Indah 1/14, Bukit Indah 68000 | # Floors: 5 | # Units: N/A"
Apartment Saujana,Apartment,129600,330000,"Jalan PJU 10/1G, PJU 10, Damansara Damai, 47830, Selangor",700 - 1000,Apartment Saujana,Apartment,N/A,Leasehold,N/A,N/A,4,N/A,Barbeque Area | Covered car park | Perimeter Fencing | Launderette | Mini-Mart | Playground | 24 hours security | Swimming pool | Wading pool,Building: Apartment Saujana | # Floors: 4 | # Units: N/A
Apartment Seri Meranti,Apartment,0,0,"Jalan PJU 1A/5, Ara Damansara, 47301, Selangor",,Apartment Seri Meranti,Apartment,N/A,Freehold,N/A,N/A,5,276,Covered car park | Children's Playground | Open car park,Building: Apartment Seri Meranti | # Floors: 5 | # Units: 276
Apartment Seri Teluki,Apartment,95000,110000,"Jln Bukit Sentosa 3a, Seksyen BS 3, Bukit Sentosa, Rawang, 48300, Selangor",,Apartment Seri Teluki,Apartment,N/A,Freehold,N/A,2014,N/A,N/A,Car Park,Building: Apartment Seri Teluki | # Floors: N/A | # Units: N/A
Apartment Serindit,Apartment,170000,220000,"Persiaran Impian, Taman Impian Ehsan, Balakong, 43300, Selangor",,Apartment Serindit,Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,,"Building: Building @ Persiaran Impian, Taman Impian Ehsan, Balakong 43300 | # Floors: N/A | # Units: N/A"
Apartment Setia Baiduri,Apartment,0,0,"Taman Setia Indah, Johor Bahru, 81100, Johor",,Apartment Setia Baiduri,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Open car park,"Building: Building @ Jalan Setia 4, Taman Setia Indah, Johor Bahru 81100 | # Floors: N/A | # Units: N/A"
Apartment Sri Angkasa (Bayu Perdana),Apartment,0,0,"Jalan Batu Unjur 10,Taman Bayu Perdana, Pandamaran, 41200, Selangor",,Apartment Sri Angkasa (Bayu Perdana),Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,,"Building: Building @ Jalan Batu Unjur 10,Taman Bayu Perdana, Pandamaran 41200 | # Floors: N/A | # Units: N/A"
Apartment Sri Ara,Apartment,225000,350000,"Jalan PJU 1A/5, Ara Damansara, 47301, Selangor",,Apartment Sri Ara,Apartment,Sime Darby Property Berhad,Freehold,N/A,2016,5,N/A,Covered car park | Children's Playground | Perimeter Fencing | Open car park | Playground | 24 hours security,Building: Apartment Sri Ara | # Floors: 5 | # Units: N/A
Apartment Sri Tansau,Apartment,0,0,"Kampung Ketiau, Putatan, 89500, Sabah",,Apartment Sri Tansau,Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,,"Building: Building @ Jln Ketiau Tomeovo, Kampung Ketiau, Putatan 89500 | # Floors: N/A | # Units: N/A ** Building: Building @ Jln Ketiau Tomeovo, 89500 | # Floors: N/A | # Units: N/A"
Apartment Stulang,Apartment,0,0,"Jalan Stulang Laut, 80300, Johor",,Apartment Stulang,Apartment,N/A,Leasehold,N/A,N/A,5,260,,Building: Building @ Jalan Stulang Laut 80300 | # Floors: 5 | # Units: 260
Apartment Subang Permai,Apartment,250000,278000,"Jalan Subang Permai, USJ 1, Subang Jaya, 47500, Selangor",,Apartment Subang Permai,Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,24 hours security,"Building: Building @ 0 Jalan Subang Permai, USJ 1, Subang Jaya 47500 | # Floors: N/A | # Units: N/A"
Apartment Suria Jaya,Apartment,0,0,"Jalan Bunga Mawar 10,Taman Suria Jaya, 43300, Selangor",600 - 1100,Apartment Suria Jaya,Apartment,N/A,Leasehold,N/A,2016,N/A,N/A,Open car park,Building: Apartment Suria Jaya | # Floors: N/A | # Units: N/A
Apartment Taman Orkid Mewah,Apartment,0,0,"Off Jalan Kampung Lapan, 75300, Melaka",,Apartment Taman Orkid Mewah,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,,"Building: Building @ Jalan Kenanga 2, Off Jalan Kampung Lapan 75300 | # Floors: N/A | # Units: N/A ** Building: Building @ Jalan Kenanga 2, 75300 | # Floors: N/A | # Units: N/A"
Apartment Taman Saujana Puri,Apartment,0,0,"Off Jalan Tun Hamzah, Taman Saujana Puri, 75450, Melaka",,Apartment Taman Saujana Puri,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Mini-Mart | Open car park,Building: Block A | # Floors: N/A | # Units: N/A
Apartment Tanjung Puteri Resort,Apartment,130000,188000,"Jalan Tanjong Puteri, Pasir Gudang, 81700, Johor",800 - 850,Apartment Tanjung Puteri Resort,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,,"Building: Building @ Jalan Tanjong Puteri, Pasir Gudang 81700 | # Floors: N/A | # Units: N/A"
Apartment Tuaran Impian,Apartment,0,0,"Jalan Tuaran Impian, Tuaran, 89200, Sabah",,Apartment Tuaran Impian,Apartment,Syarikat Perumahan Negara Berhad,Leasehold,N/A,N/A,N/A,N/A,Basketball court | Covered car park | Perimeter Fencing | Mini-Mart | Open car park | Playground | 24 hours security | Surau (Male & Female),Building: Apartment Tuaran Impian | # Floors: N/A | # Units: N/A
Apartment Zapin,Apartment,200000,250000,"Jalan Zapin, Taman Impian Ehsan III, 43300, Selangor",,Apartment Zapin,Apartment,N/A,Leasehold,N/A,N/A,5,N/A,Playground | 24 hours security,"Building: Building @ Jalan Zapin, Taman Impian Ehsan III 43300 | # Floors: 5 | # Units: N/A"
Api-Api Apartment,Apartment,0,0,"Api-Api Commercial Centre, Kota Kinabalu, 88000, Sabah",,Api-Api Apartment,Apartment,Tokojaya,Leasehold,N/A,N/A,N/A,512,Covered car park | Driving range | Eateries | Mini-Mart | 24 hours security,Building: Api Api | # Floors: N/A | # Units: 512
Apple Court,Apartment,0,0,"Jalan Sayang 1, Taman Rasa Sayang, 43200, Selangor",,Apple Court,Apartment,N/A,Freehold,N/A,N/A,4,48,Covered car park | 24 hours security,"Building: Building @ Jalan Sayang 1, Taman Rasa Sayang 43200 | # Floors: 4 | # Units: 48"
Aranda Nova @ Cameron Highlands,Apartment,0,620000,"Jalan Aranda Nova, 39000, Pahang",,Aranda Nova @ Cameron Highlands,Apartment,Signature Landmark Property Sdn Bhd,Leasehold,N/A,2015,11,260,Barbeque Area | Basement car park | Drop Off Point | Perimeter Fencing | Landscaped Garden | Lift lobby | Main entrance | Open car park | Playground | 24 hours security,Building: Aranda Nova | # Floors: 11 | # Units: 260
Arcadia (Subang Jaya),Apartment,380000,4249999,"Jalan USJ 11/1J, UEP Subang Jaya, 47620, Selangor",1200 - 1600,Arcadia (Subang Jaya),Apartment,N/A,Freehold,N/A,N/A,5,N/A,Covered car park | Multi-purpose hall | Playground | 24 hours security,"Building: Building @ Jalan USJ 11/1J, UEP Subang Jaya 47620 | # Floors: 5 | # Units: N/A"
Ascadia Lake View Apartment,Apartment,0,0,"Jalan Perdana, Taman Pandan Perdana, 55100, Selangor",,Ascadia Lake View Apartment,Apartment,N/A,Leasehold,N/A,N/A,10,240,Car Park | Driving range | Perimeter Fencing | 24 hours security,Building: Ascadia Lakeview Apartment | # Floors: 10 | # Units: 240
Aseana Court,Apartment,0,0,"Jalan Hassan Abas, 11050, Penang",,Aseana Court,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,24 hours security,Building: Aseana Court  | # Floors: N/A | # Units: N/A
